pregunta,emocion,intencion,nivel_emocional,recomendacion
por favor siento nervios cada vez que entro a clases pero no se como explicarlo,ANSIEDAD,preocupacion_academica,ALTO,Validar la preocupación y recomendar dividir tareas en pasos pequeños.
me da miedo equivocarme al exponer cuando tengo tareas,MIEDO,expresar_miedo,MODERADO,"Brindar contención, recomendar acudir a un adulto de confianza y priorizar seguridad."
ultimamente hasta luego cada dia mas y me cuesta concentrarme,NEUTRAL,duda_academica,ESTABLE,Brindar información breve y preguntar si necesita algo más.
la verdad estoy orgulloso de mi avance durante clases y me cuesta concentrarme,FELICIDAD,expresar_bienestar,ESTABLE,Responder con reconocimiento emocional y continuar acompañando.
desde ayer me da igual sacar malas notas y no se que hacer,DESMOTIVACION,expresar_desmotivacion,MODERADO,"Motivar con metas pequeñas, reconocer avances y sugerir apoyo académico."
por favor donde puedo ver mi horario,NEUTRAL,agradecimiento,ESTABLE,Brindar información breve y preguntar si necesita algo más.
ultimamente tengo rabia por lo que paso en clase,ENOJO,expresar_enojo,MODERADO,"Validar el enojo, recomendar calmarse antes de responder y buscar diálogo respetuoso."
ultimamente tengo miedo de ir al colegio y quiero mejorar,MIEDO,temor_familiar,ALTO,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
cuando llego a casa necesito hacer una consulta antes de dormir y no quiero sentirme asi,NEUTRAL,despedida,ESTABLE,Responder con orientación general y continuar la conversación.
desde ayer siento nervios cada vez que entro a clases cada dia mas y quiero estar mejor,ANSIEDAD,preocupacion_academica,ALTO,Registrar alerta si la ansiedad es frecuente o interfiere con el rendimiento escolar.
hoy me cuesta respirar cuando pienso en mis tareas,ANSIEDAD,buscar_calma,MODERADO,Registrar alerta si la ansiedad es frecuente o interfiere con el rendimiento escolar.
a veces me da temor hablar con mi profesor antes de dormir,MIEDO,temor_familiar,ALTO,"Registrar alerta si el miedo se relaciona con acoso, violencia o riesgo de seguridad."
cuando llego a casa siento que no puedo controlar mi preocupacion durante clases que puedo hacer,ANSIEDAD,preocupacion_academica,LEVE,Validar la preocupación y recomendar dividir tareas en pasos pequeños.
esta semana siento mucha pena por lo que paso bastante que puedo hacer,TRISTEZA,buscar_apoyo,ALTO,Registrar seguimiento y sugerir orientación psicológica si la tristeza afecta sus actividades.
siento que nada me sale bien con mis compañeros puedes ayudarme,DESMOTIVACION,bajo_rendimiento,LEVE,"Motivar con metas pequeñas, reconocer avances y sugerir apoyo académico."
ultimamente siento que todo seria mejor si no estuviera por eso busco ayuda,RIESGO_EMOCIONAL,crisis_emocional,CRITICO,Priorizar seguridad del estudiante y derivar de forma urgente al área de psicología.
no puedo dormir por pensar en el examen,ANSIEDAD,buscar_calma,ALTO,Registrar alerta si la ansiedad es frecuente o interfiere con el rendimiento escolar.
cuando llego a casa me siento agotado por las clases con mi familia,ESTRES,organizacion_estudio,ALTO,"Registrar seguimiento si el estrés se mantiene o afecta sueño, ánimo o concentración."
la verdad quiero saber como revisar mis notas que puedo hacer,NEUTRAL,agradecimiento,ESTABLE,Responder con orientación general y continuar la conversación.
hola pero no se como explicarlo,NEUTRAL,duda_academica,ESTABLE,Brindar información breve y preguntar si necesita algo más.
en las mañanas me fue bien en el examen mucho me preocupa mucho,FELICIDAD,agradecimiento,ESTABLE,Felicitar al estudiante y sugerir que conserve esa actitud positiva.
a veces buenos dias,NEUTRAL,agradecimiento,ESTABLE,"Mantener una respuesta clara, amable y de acompañamiento."
necesito decir que no aguanto mas esta situacion y quiero estar mejor,RIESGO_EMOCIONAL,riesgo_autolesion,CRITICO,Registrar seguimiento inmediato y no dejar al estudiante sin acompañamiento.
necesito decir que buenos dias,NEUTRAL,despedida,ESTABLE,"Mantener una respuesta clara, amable y de acompañamiento."
en la tarde hasta luego que puedo hacer,NEUTRAL,duda_academica,ESTABLE,Responder con orientación general y continuar la conversación.
hoy donde puedo ver mi horario que puedo hacer,NEUTRAL,agradecimiento,ESTABLE,"Mantener una respuesta clara, amable y de acompañamiento."
necesito decir que no quiero hacer mis tareas un poco,DESMOTIVACION,bajo_rendimiento,ALTO,"Motivar con metas pequeñas, reconocer avances y sugerir apoyo académico."
cuando estoy en clases cada vez me cuesta mas levantarme para ir al colegio en serio necesito apoyo,DESMOTIVACION,expresar_desmotivacion,MODERADO,Registrar seguimiento si la desmotivación persiste y afecta asistencia o rendimiento.
me dio rabia lo que me dijeron,ENOJO,frustracion,MODERADO,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
ultimamente no me alcanza el tiempo para estudiar un poco,ESTRES,cansancio_escolar,MODERADO,Sugerir una planificación diaria y comunicar la sobrecarga a un docente o tutor.
desde ayer hoy me siento muy feliz durante clases,FELICIDAD,expresar_bienestar,ESTABLE,Reforzar positivamente el logro y motivar a mantener hábitos saludables.
desde hace dias no quiero hacer mis tareas,DESMOTIVACION,falta_interes,MODERADO,"Motivar con metas pequeñas, reconocer avances y sugerir apoyo académico."
a veces me siento en peligro conmigo mismo pero no se como explicarlo,RIESGO_EMOCIONAL,pedido_ayuda_urgente,CRITICO,Priorizar seguridad del estudiante y derivar de forma urgente al área de psicología.
por favor me siento motivado para estudiar y quiero estar mejor,FELICIDAD,compartir_logro,ESTABLE,Reforzar positivamente el logro y motivar a mantener hábitos saludables.
a veces estoy orgulloso de mi avance y no quiero sentirme asi,FELICIDAD,agradecimiento,ESTABLE,Felicitar al estudiante y sugerir que conserve esa actitud positiva.
cuando llego a casa hola porque me afecta bastante,NEUTRAL,agradecimiento,ESTABLE,Brindar información breve y preguntar si necesita algo más.
ultimamente no quiero salir al recreo porque tengo miedo porque me afecta bastante,MIEDO,temor_bullying,MODERADO,"Registrar alerta si el miedo se relaciona con acoso, violencia o riesgo de seguridad."
desde ayer me duele sentirme asi por eso busco ayuda,TRISTEZA,problema_personal,MODERADO,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
cuando estoy en clases me da igual sacar malas notas bastante,DESMOTIVACION,expresar_desmotivacion,MODERADO,Registrar seguimiento si la desmotivación persiste y afecta asistencia o rendimiento.
esta semana ultimamente no tengo ganas de nada demasiado,TRISTEZA,problema_personal,MODERADO,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
desde hace dias siento mucha pena por lo que paso,TRISTEZA,desahogo_emocional,MODERADO,Registrar seguimiento y sugerir orientación psicológica si la tristeza afecta sus actividades.
desde hace dias me molesta que me culpen de todo,ENOJO,frustracion,LEVE,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
cuando estoy en clases me duele sentirme asi un poco,TRISTEZA,desahogo_emocional,ALTO,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
en la tarde estoy contento porque mejore mis notas cuando tengo tareas pero no se como explicarlo,FELICIDAD,agradecimiento,ESTABLE,Felicitar al estudiante y sugerir que conserve esa actitud positiva.
ultimamente siento que no sirvo para las materias,DESMOTIVACION,expresar_desmotivacion,ALTO,Registrar seguimiento si la desmotivación persiste y afecta asistencia o rendimiento.
en las mañanas me alegra haber hablado con mi profesor me gustaria hablar con alguien,FELICIDAD,agradecimiento,ESTABLE,Responder con reconocimiento emocional y continuar acompañando.
me angustia no terminar mis trabajos durante clases,ANSIEDAD,miedo_examen,LEVE,"Sugerir respiración lenta, ordenar prioridades y solicitar apoyo si la ansiedad aumenta."
cuando estoy en clases me asusta que me molesten otra vez porque me afecta bastante,MIEDO,temor_familiar,LEVE,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
en las mañanas me siento ansioso bastante,ANSIEDAD,expresar_ansiedad,LEVE,Registrar alerta si la ansiedad es frecuente o interfiere con el rendimiento escolar.
esta semana estoy orgulloso de mi avance bastante,FELICIDAD,compartir_logro,ESTABLE,Felicitar al estudiante y sugerir que conserve esa actitud positiva.
cuando estoy en clases no quiero salir al recreo porque tengo miedo y no se que hacer,MIEDO,temor_familiar,MODERADO,"Registrar alerta si el miedo se relaciona con acoso, violencia o riesgo de seguridad."
necesito decir que me cuesta respirar cuando pienso en mis tareas y quiero mejorar,ANSIEDAD,buscar_calma,LEVE,Validar la preocupación y recomendar dividir tareas en pasos pequeños.
cuando estoy en clases siento que no sirvo para las materias demasiado y no se que hacer,DESMOTIVACION,falta_interes,MODERADO,Registrar seguimiento si la desmotivación persiste y afecta asistencia o rendimiento.
por favor me siento ansioso bastante en serio necesito apoyo,ANSIEDAD,preocupacion_academica,LEVE,Validar la preocupación y recomendar dividir tareas en pasos pequeños.
a veces siento que todo seria mejor si no estuviera con mi familia puedes ayudarme,RIESGO_EMOCIONAL,riesgo_autolesion,CRITICO,Registrar seguimiento inmediato y no dejar al estudiante sin acompañamiento.
desde ayer tengo miedo de ir al colegio que puedo hacer,MIEDO,expresar_miedo,MODERADO,"Brindar contención, recomendar acudir a un adulto de confianza y priorizar seguridad."
desde ayer siento mucha pena por lo que paso con mi familia me gustaria hablar con alguien,TRISTEZA,buscar_apoyo,ALTO,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
en el colegio estoy orgulloso de mi avance,FELICIDAD,motivacion_positiva,ESTABLE,Reforzar positivamente el logro y motivar a mantener hábitos saludables.
en la tarde ya no quiero seguir viviendo pero no se como explicarlo,RIESGO_EMOCIONAL,crisis_emocional,CRITICO,Priorizar seguridad del estudiante y derivar de forma urgente al área de psicología.
cuando llego a casa siento mucha presion academica cuando tengo que exponer,ESTRES,sobrecarga_academica,MODERADO,"Recomendar organizar actividades, priorizar tareas y tomar pausas breves."
por favor tengo rabia por lo que paso en clase en serio necesito apoyo,ENOJO,conflicto_companeros,LEVE,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
a veces no soporto que me traten mal sin decirle a nadie,ENOJO,conflicto_companeros,MODERADO,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
ultimamente me siento tranquilo y animado en serio necesito apoyo,FELICIDAD,agradecimiento,ESTABLE,Responder con reconocimiento emocional y continuar acompañando.
en el colegio tengo muchas obligaciones y estoy cansado,ESTRES,cansancio_escolar,LEVE,Sugerir una planificación diaria y comunicar la sobrecarga a un docente o tutor.
desde hace dias tengo miedo de ir al colegio me preocupa mucho,MIEDO,temor_familiar,LEVE,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
necesito decir que tengo una pregunta sobre el colegio mucho por eso busco ayuda,NEUTRAL,despedida,ESTABLE,Responder con orientación general y continuar la conversación.
no encuentro sentido a estudiar un poco,DESMOTIVACION,falta_interes,MODERADO,"Motivar con metas pequeñas, reconocer avances y sugerir apoyo académico."
necesito decir que estoy estresado por tantas tareas con mis compañeros,ESTRES,cansancio_escolar,MODERADO,"Registrar seguimiento si el estrés se mantiene o afecta sueño, ánimo o concentración."
hoy me fue bien en el examen y no quiero sentirme asi,FELICIDAD,expresar_bienestar,ESTABLE,Felicitar al estudiante y sugerir que conserve esa actitud positiva.
en la tarde tengo rabia por lo que paso en clase necesito orientacion,ENOJO,conflicto_companeros,MODERADO,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
hoy siento que no vale la pena vivir mucho me preocupa mucho,RIESGO_EMOCIONAL,riesgo_autolesion,CRITICO,Priorizar seguridad del estudiante y derivar de forma urgente al área de psicología.
cuando estoy en clases siento que no puedo controlar mi preocupacion pero no se como explicarlo,ANSIEDAD,expresar_ansiedad,ALTO,Registrar alerta si la ansiedad es frecuente o interfiere con el rendimiento escolar.
en la tarde hola,NEUTRAL,despedida,ESTABLE,"Mantener una respuesta clara, amable y de acompañamiento."
en las mañanas no quiero salir al recreo porque tengo miedo,MIEDO,temor_familiar,MODERADO,"Registrar alerta si el miedo se relaciona con acoso, violencia o riesgo de seguridad."
necesito decir que me siento motivado para estudiar y me cuesta concentrarme,FELICIDAD,compartir_logro,ESTABLE,Reforzar positivamente el logro y motivar a mantener hábitos saludables.
hoy me siento ansioso con mi familia,ANSIEDAD,expresar_ansiedad,LEVE,"Sugerir respiración lenta, ordenar prioridades y solicitar apoyo si la ansiedad aumenta."
necesito decir que me molesta que se burlen de mi demasiado en serio necesito apoyo,ENOJO,conflicto_companeros,MODERADO,"Validar el enojo, recomendar calmarse antes de responder y buscar diálogo respetuoso."
a veces perdi las ganas de esforzarme mucho,DESMOTIVACION,bajo_rendimiento,MODERADO,Registrar seguimiento si la desmotivación persiste y afecta asistencia o rendimiento.
en las mañanas me cuesta respirar cuando pienso en mis tareas cada dia mas y no se que hacer,ANSIEDAD,buscar_calma,LEVE,"Sugerir respiración lenta, ordenar prioridades y solicitar apoyo si la ansiedad aumenta."
a veces estoy muy preocupado por mis notas antes de dormir y no quiero sentirme asi,ANSIEDAD,expresar_ansiedad,ALTO,Validar la preocupación y recomendar dividir tareas en pasos pequeños.
a veces no puedo dormir por pensar en el examen y me cuesta concentrarme,ANSIEDAD,expresar_ansiedad,LEVE,"Sugerir respiración lenta, ordenar prioridades y solicitar apoyo si la ansiedad aumenta."
cuando estoy en clases siento mucha frustracion que puedo hacer,ENOJO,conflicto_docente,LEVE,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
desde ayer no se como organizar mis tareas demasiado que puedo hacer,ESTRES,organizacion_estudio,LEVE,"Recomendar organizar actividades, priorizar tareas y tomar pausas breves."
en la tarde estoy orgulloso de mi avance cuando tengo tareas y no quiero sentirme asi,FELICIDAD,compartir_logro,LEVE,Responder con reconocimiento emocional y continuar acompañando.
en la tarde tengo muchas obligaciones y estoy cansado y quiero mejorar,ESTRES,sobrecarga_academica,LEVE,Sugerir una planificación diaria y comunicar la sobrecarga a un docente o tutor.
en el colegio me siento agotado por las clases puedes ayudarme,ESTRES,organizacion_estudio,MODERADO,"Recomendar organizar actividades, priorizar tareas y tomar pausas breves."
esta semana estoy llorando y no se que hacer y me cuesta concentrarme,TRISTEZA,desahogo_emocional,ALTO,Brindar contención emocional y recomendar apoyo de un adulto de confianza.
necesito decir que cada vez me cuesta mas levantarme para ir al colegio cada dia mas,DESMOTIVACION,buscar_motivacion,LEVE,"Motivar con metas pequeñas, reconocer avances y sugerir apoyo académico."
hoy donde puedo ver mi horario un poco,NEUTRAL,agradecimiento,ESTABLE,Responder con orientación general y continuar la conversación.
por favor gracias por la ayuda porque me afecta bastante,NEUTRAL,consulta_general,ESTABLE,"Mantener una respuesta clara, amable y de acompañamiento."
hoy me asusta que me molesten otra vez pero no se como explicarlo,MIEDO,temor_familiar,ALTO,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
ultimamente estoy llorando y no se que hacer demasiado,TRISTEZA,problema_personal,LEVE,Brindar contención emocional y recomendar apoyo de un adulto de confianza.
necesito decir que me siento amenazado por un compañero durante clases me preocupa mucho,MIEDO,temor_bullying,LEVE,"Brindar contención, recomendar acudir a un adulto de confianza y priorizar seguridad."
en el colegio siento que no vale la pena vivir y no se que hacer,RIESGO_EMOCIONAL,crisis_emocional,CRITICO,"Activar alerta crítica, recomendar contacto inmediato con psicología y un adulto responsable."
desde hace dias siento que todo seria mejor si no estuviera cada dia mas,RIESGO_EMOCIONAL,crisis_emocional,CRITICO,Registrar seguimiento inmediato y no dejar al estudiante sin acompañamiento.
ya no disfruto venir a clases en serio necesito apoyo,TRISTEZA,problema_personal,MODERADO,Registrar seguimiento y sugerir orientación psicológica si la tristeza afecta sus actividades.
en la tarde me preocupa no entregar todo y no se que hacer,ESTRES,sobrecarga_academica,LEVE,Sugerir una planificación diaria y comunicar la sobrecarga a un docente o tutor.
hoy logre entregar mi tarea a tiempo necesito orientacion,FELICIDAD,motivacion_positiva,ESTABLE,Reforzar positivamente el logro y motivar a mantener hábitos saludables.
a veces me asusta que me molesten otra vez y me cuesta concentrarme,MIEDO,temor_familiar,MODERADO,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
necesito decir que me duele sentirme asi,TRISTEZA,problema_personal,MODERADO,Registrar seguimiento y sugerir orientación psicológica si la tristeza afecta sus actividades.
a veces me siento en peligro conmigo mismo me gustaria hablar con alguien,RIESGO_EMOCIONAL,pedido_ayuda_urgente,CRITICO,"Activar alerta crítica, recomendar contacto inmediato con psicología y un adulto responsable."
esta semana quiero lastimarme con mi familia necesito orientacion,RIESGO_EMOCIONAL,desesperanza_grave,CRITICO,Priorizar seguridad del estudiante y derivar de forma urgente al área de psicología.
por favor no encuentro sentido a estudiar,DESMOTIVACION,expresar_desmotivacion,ALTO,Registrar seguimiento si la desmotivación persiste y afecta asistencia o rendimiento.
hoy siento que no vale la pena vivir bastante,RIESGO_EMOCIONAL,pedido_ayuda_urgente,CRITICO,Registrar seguimiento inmediato y no dejar al estudiante sin acompañamiento.
hoy me angustia no terminar mis trabajos con mis compañeros,ANSIEDAD,buscar_calma,ALTO,Registrar alerta si la ansiedad es frecuente o interfiere con el rendimiento escolar.
en el colegio siento que no puedo controlar mi preocupacion demasiado en serio necesito apoyo,ANSIEDAD,miedo_examen,MODERADO,Registrar alerta si la ansiedad es frecuente o interfiere con el rendimiento escolar.
siento que no vale la pena vivir,RIESGO_EMOCIONAL,crisis_emocional,CRITICO,"Activar alerta crítica, recomendar contacto inmediato con psicología y un adulto responsable."
en la tarde me siento motivado para estudiar sin decirle a nadie pero no se como explicarlo,FELICIDAD,compartir_logro,ESTABLE,Reforzar positivamente el logro y motivar a mantener hábitos saludables.
a veces me tiembla el cuerpo cuando debo exponer y me cuesta concentrarme,ANSIEDAD,expresar_ansiedad,MODERADO,Registrar alerta si la ansiedad es frecuente o interfiere con el rendimiento escolar.
estoy llorando y no se que hacer bastante,TRISTEZA,problema_personal,LEVE,Brindar contención emocional y recomendar apoyo de un adulto de confianza.
cuando llego a casa me asusta que me molesten otra vez y no se que hacer,MIEDO,temor_bullying,ALTO,"Registrar alerta si el miedo se relaciona con acoso, violencia o riesgo de seguridad."
esta semana me dio rabia lo que me dijeron,ENOJO,expresar_enojo,MODERADO,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
me siento motivado para estudiar,FELICIDAD,motivacion_positiva,ESTABLE,Responder con reconocimiento emocional y continuar acompañando.
por favor ultimamente no tengo ganas de nada antes de dormir que puedo hacer,TRISTEZA,desahogo_emocional,ALTO,Brindar contención emocional y recomendar apoyo de un adulto de confianza.
hoy siento que nada me sale bien,DESMOTIVACION,expresar_desmotivacion,LEVE,Recomendar establecer una rutina breve de estudio y conversar con un tutor.
en las mañanas ya no disfruto venir a clases,TRISTEZA,desahogo_emocional,MODERADO,Registrar seguimiento y sugerir orientación psicológica si la tristeza afecta sus actividades.
por favor no me alcanza el tiempo para estudiar antes de dormir y no quiero sentirme asi,ESTRES,cansancio_escolar,MODERADO,Sugerir una planificación diaria y comunicar la sobrecarga a un docente o tutor.
en el colegio siento inseguridad en el curso que puedo hacer,MIEDO,temor_bullying,MODERADO,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
esta semana siento que todo seria mejor si no estuviera y quiero mejorar,RIESGO_EMOCIONAL,crisis_emocional,CRITICO,"Activar alerta crítica, recomendar contacto inmediato con psicología y un adulto responsable."
en las mañanas tengo demasiados trabajos acumulados,ESTRES,organizacion_estudio,LEVE,Sugerir una planificación diaria y comunicar la sobrecarga a un docente o tutor.
desde ayer siento que nada me sale bien puedes ayudarme,DESMOTIVACION,buscar_motivacion,MODERADO,Registrar seguimiento si la desmotivación persiste y afecta asistencia o rendimiento.
cuando llego a casa siento mucha presion academica y quiero mejorar,ESTRES,cansancio_escolar,MODERADO,"Registrar seguimiento si el estrés se mantiene o afecta sueño, ánimo o concentración."
en la tarde me siento triste sin decirle a nadie,TRISTEZA,desahogo_emocional,MODERADO,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
esta semana me alegra haber hablado con mi profesor puedes ayudarme,FELICIDAD,motivacion_positiva,LEVE,Felicitar al estudiante y sugerir que conserve esa actitud positiva.
a veces hola que puedo hacer,NEUTRAL,agradecimiento,ESTABLE,"Mantener una respuesta clara, amable y de acompañamiento."
la verdad siento que todo seria mejor si no estuviera,RIESGO_EMOCIONAL,riesgo_autolesion,CRITICO,Priorizar seguridad del estudiante y derivar de forma urgente al área de psicología.
necesito decir que me asusta que me molesten otra vez un poco,MIEDO,buscar_seguridad,MODERADO,"Registrar alerta si el miedo se relaciona con acoso, violencia o riesgo de seguridad."
hoy me da igual sacar malas notas y no quiero sentirme asi,DESMOTIVACION,buscar_motivacion,MODERADO,"Motivar con metas pequeñas, reconocer avances y sugerir apoyo académico."
cuando estoy en clases me da temor hablar con mi profesor cuando tengo que exponer puedes ayudarme,MIEDO,temor_bullying,ALTO,"Brindar contención, recomendar acudir a un adulto de confianza y priorizar seguridad."
hoy quiero lastimarme me gustaria hablar con alguien,RIESGO_EMOCIONAL,riesgo_autolesion,ALTO,Registrar seguimiento inmediato y no dejar al estudiante sin acompañamiento.
necesito decir que me angustia no terminar mis trabajos,ANSIEDAD,preocupacion_academica,MODERADO,"Sugerir respiración lenta, ordenar prioridades y solicitar apoyo si la ansiedad aumenta."
en las mañanas me da temor hablar con mi profesor antes de dormir,MIEDO,buscar_seguridad,MODERADO,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
me siento ansioso un poco y no quiero sentirme asi,ANSIEDAD,preocupacion_academica,MODERADO,Validar la preocupación y recomendar dividir tareas en pasos pequeños.
por favor me siento desanimado con mis clases un poco y quiero estar mejor,DESMOTIVACION,falta_interes,ALTO,"Motivar con metas pequeñas, reconocer avances y sugerir apoyo académico."
en el colegio tengo rabia por lo que paso en clase cada dia mas porque me afecta bastante,ENOJO,expresar_enojo,MODERADO,"Validar el enojo, recomendar calmarse antes de responder y buscar diálogo respetuoso."
desde ayer hoy no quiero hablar con nadie mucho y no se que hacer,TRISTEZA,problema_personal,MODERADO,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
necesito decir que ya no disfruto venir a clases y no quiero sentirme asi,TRISTEZA,expresar_tristeza,MODERADO,Registrar seguimiento y sugerir orientación psicológica si la tristeza afecta sus actividades.
en el colegio me siento agotado por las clases necesito orientacion,ESTRES,sobrecarga_academica,MODERADO,"Registrar seguimiento si el estrés se mantiene o afecta sueño, ánimo o concentración."
cuando llego a casa tengo muchas obligaciones y estoy cansado y no se que hacer,ESTRES,sobrecarga_academica,ALTO,"Recomendar organizar actividades, priorizar tareas y tomar pausas breves."
en la tarde tengo pensamientos muy oscuros,RIESGO_EMOCIONAL,pedido_ayuda_urgente,ALTO,"Activar alerta crítica, recomendar contacto inmediato con psicología y un adulto responsable."
cuando estoy en clases quiero mejorar pero no tengo fuerzas por eso busco ayuda,DESMOTIVACION,bajo_rendimiento,MODERADO,"Motivar con metas pequeñas, reconocer avances y sugerir apoyo académico."
cuando estoy en clases logre entregar mi tarea a tiempo demasiado porque me afecta bastante,FELICIDAD,compartir_logro,ESTABLE,Felicitar al estudiante y sugerir que conserve esa actitud positiva.
me asusta que me molesten otra vez,MIEDO,temor_familiar,MODERADO,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
por favor siento mucha pena por lo que paso,TRISTEZA,desahogo_emocional,MODERADO,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
por favor no se como organizar mis tareas bastante,ESTRES,organizacion_estudio,MODERADO,"Recomendar organizar actividades, priorizar tareas y tomar pausas breves."
en la tarde me pongo nervioso antes de los examenes,ANSIEDAD,preocupacion_academica,MODERADO,Validar la preocupación y recomendar dividir tareas en pasos pequeños.
cuando llego a casa me siento agotado por las clases,ESTRES,organizacion_estudio,ALTO,"Registrar seguimiento si el estrés se mantiene o afecta sueño, ánimo o concentración."
desde ayer siento que todo seria mejor si no estuviera puedes ayudarme,RIESGO_EMOCIONAL,pedido_ayuda_urgente,CRITICO,"Activar alerta crítica, recomendar contacto inmediato con psicología y un adulto responsable."
desde ayer puedes ayudarme con una duda antes de dormir,NEUTRAL,despedida,ESTABLE,"Mantener una respuesta clara, amable y de acompañamiento."
a veces necesito hacer una consulta cada dia mas,NEUTRAL,duda_academica,ESTABLE,"Mantener una respuesta clara, amable y de acompañamiento."
no quiero salir al recreo porque tengo miedo y no quiero sentirme asi,MIEDO,buscar_seguridad,MODERADO,"Brindar contención, recomendar acudir a un adulto de confianza y priorizar seguridad."
en el colegio no aguanto mas esta situacion,RIESGO_EMOCIONAL,riesgo_autolesion,ALTO,"Activar alerta crítica, recomendar contacto inmediato con psicología y un adulto responsable."
ultimamente me molesta que me culpen de todo necesito orientacion,ENOJO,conflicto_companeros,LEVE,"Validar el enojo, recomendar calmarse antes de responder y buscar diálogo respetuoso."
ultimamente estoy enojado con mis compañeros con mis compañeros y me cuesta concentrarme,ENOJO,conflicto_companeros,ALTO,Sugerir identificar el motivo del conflicto y pedir mediación si es necesario.
necesito decir que hoy no quiero hablar con nadie,TRISTEZA,expresar_tristeza,LEVE,Registrar seguimiento y sugerir orientación psicológica si la tristeza afecta sus actividades.
cuando llego a casa me tiembla el cuerpo cuando debo exponer,ANSIEDAD,buscar_calma,MODERADO,"Sugerir respiración lenta, ordenar prioridades y solicitar apoyo si la ansiedad aumenta."
desde ayer me dio rabia lo que me dijeron,ENOJO,frustracion,LEVE,"Registrar seguimiento si el enojo genera peleas, amenazas o pérdida de control."
desde hace dias buenos dias con mis compañeros que puedo hacer,NEUTRAL,agradecimiento,ESTABLE,"Mantener una respuesta clara, amable y de acompañamiento."
esta semana me siento saturado con el colegio me preocupa mucho,ESTRES,sobrecarga_academica,MODERADO,"Recomendar organizar actividades, priorizar tareas y tomar pausas breves."
en la tarde siento que no sirvo para las materias,DESMOTIVACION,buscar_motivacion,MODERADO,"Motivar con metas pequeñas, reconocer avances y sugerir apoyo académico."
a veces siento mucha presion academica por eso busco ayuda,ESTRES,sobrecarga_academica,ALTO,"Registrar seguimiento si el estrés se mantiene o afecta sueño, ánimo o concentración."
la verdad ya no disfruto venir a clases durante clases necesito orientacion,TRISTEZA,problema_personal,LEVE,Brindar contención emocional y recomendar apoyo de un adulto de confianza.
la verdad quiero mejorar pero no tengo fuerzas con mis compañeros,DESMOTIVACION,expresar_desmotivacion,MODERADO,Recomendar establecer una rutina breve de estudio y conversar con un tutor.
ultimamente me angustia no terminar mis trabajos puedes ayudarme,ANSIEDAD,expresar_ansiedad,MODERADO,Validar la preocupación y recomendar dividir tareas en pasos pequeños.
en la tarde me alegra haber hablado con mi profesor sin decirle a nadie puedes ayudarme,FELICIDAD,agradecimiento,ESTABLE,Felicitar al estudiante y sugerir que conserve esa actitud positiva.
hoy me siento triste me gustaria hablar con alguien,TRISTEZA,expresar_tristeza,MODERADO,"Responder con empatía, validar la emoción y sugerir hablar con el área de psicología si continúa."
en el colegio me siento ansioso antes de dormir,ANSIEDAD,buscar_calma,LEVE,Validar la preocupación y recomendar dividir tareas en pasos pequeños.
cuando estoy en clases me da temor hablar con mi profesor me preocupa mucho,MIEDO,temor_bullying,MODERADO,Sugerir comunicar la situación al área correspondiente si hay amenaza o intimidación.
cuando llego a casa estoy feliz porque mis amigos me apoyaron,FELICIDAD,agradecimiento,LEVE,Responder con reconocimiento emocional y continuar acompañando.
por favor siento mucha presion academica,ESTRES,sobrecarga_academica,MODERADO,"Registrar seguimiento si el estrés se mantiene o afecta sueño, ánimo o concentración."
necesito decir que siento mucha presion academica me gustaria hablar con alguien,ESTRES,cansancio_escolar,ALTO,"Recomendar organizar actividades, priorizar tareas y tomar pausas breves."
cuando llego a casa estoy estresado por tantas tareas en serio necesito apoyo,ESTRES,sobrecarga_academica,LEVE,"Registrar seguimiento si el estrés se mantiene o afecta sueño, ánimo o concentración."
en el colegio me da igual sacar malas notas,DESMOTIVACION,falta_interes,LEVE,Registrar seguimiento si la desmotivación persiste y afecta asistencia o rendimiento.
cuando estoy en clases me siento ansioso y quiero estar mejor,ANSIEDAD,miedo_examen,LEVE,Validar la preocupación y recomendar dividir tareas en pasos pequeños.
